name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
curated/08-words/long-english,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,76401,29323,4.51s,102.23us,530.00ns,102.26us,3.40us,98.46us,242.27us
curated/08-words/long-english,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,76401,29218,4.56s,102.56us,231.00ns,102.63us,567.00ns,100.68us,112.03us
curated/08-words/long-russian,count-spans,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,123942,600,4.56s,5.01ms,18.45us,5.01ms,25.78us,4.92ms,5.12ms
curated/08-words/long-russian,count-spans,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,123942,687,4.56s,4.36ms,42.45us,4.37ms,61.89us,4.27ms,4.65ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32514634,152,4.56s,19.80ms,18.37us,19.84ms,251.30us,19.75ms,22.78ms
curated/09-aws-keys/full,grep-captures,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32514634,148,4.56s,20.23ms,42.70us,20.31ms,197.15us,20.14ms,21.85ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,32514634,145,4.56s,20.70ms,45.35us,20.70ms,51.23us,20.62ms,20.82ms
curated/09-aws-keys/quick,grep,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,32514634,148,4.56s,20.35ms,37.51us,20.37ms,63.42us,20.26ms,20.57ms
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,20503,4.56s,100.16us,650.00ns,100.70us,3.06us,97.35us,141.99us
curated/09-aws-keys/compile-full,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,20150,4.51s,102.61us,699.00ns,103.13us,3.15us,98.78us,166.11us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,121457,4.57s,18.00us,210.00ns,18.04us,803.00ns,16.95us,102.92us
curated/09-aws-keys/compile-quick,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,119882,4.56s,18.18us,179.00ns,18.25us,868.00ns,17.33us,177.07us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,151522,12371,4.51s,242.65us,1.09us,242.46us,1.69us,239.52us,257.23us
curated/10-bounded-repeat/letters-en,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,151522,12378,4.51s,242.06us,370.00ns,242.31us,1.15us,238.85us,253.15us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,248919,7214,4.51s,412.49us,4.46us,415.81us,14.78us,405.99us,908.04us
curated/10-bounded-repeat/letters-ru,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,248919,7259,4.51s,413.27us,501.00ns,413.26us,1.83us,406.71us,445.82us
curated/10-bounded-repeat/context,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,36,4.66s,85.56ms,358.76us,85.39ms,598.13us,84.27ms,86.43ms
curated/10-bounded-repeat/context,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,35,4.61s,86.75ms,486.90us,86.65ms,631.19us,85.43ms,87.53ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,7384531,326,4.56s,9.22ms,13.81us,9.22ms,17.76us,9.19ms,9.27ms
curated/10-bounded-repeat/capitals,count,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,7384531,326,4.56s,9.21ms,16.20us,9.23ms,62.20us,9.17ms,9.53ms
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,31955,4.56s,73.95us,760.00ns,74.27us,1.35us,71.05us,95.49us
curated/10-bounded-repeat/compile-context,compile,0.1.0 (rev 5fff199b91),rust/regex-lookbehind,1.12.0,,,30360,4.56s,78.64us,380.00ns,79.04us,1.61us,73.14us,139.56us
curated/10-bounded-repeat/compile-capitals,compile,0.1.0 (rev 5fff199b91),rust/regex,1.11.0,,,30591,4.56s,78.11us,420.00ns,78.62us,1.39us,76.29us,97.39us
